3102
175	1 21	1 25	1 9	1 5	0.01189205
176	1 25	1 29	1 9	1 5	0.00637257
177	1 29	1 33	1 9	1 5	0.003693865
178	1 33	1 37	1 9	1 5	0.002789645
179	1 37	1 241	1 9	1 5	0.0014594249999999999
180	1 11	1 12	1 10	1 9	0.6852564999999999
181	1 12	1 13	1 10	1 9	0.167326
182	1 13	1 14	1 10	1 9	0.0798922
183	1 14	1 15	1 10	1 9	0.04278345
184	1 15	1 16	1 10	1 9	0.02232245
185	1 16	1 17	1 10	1 9	0.014332899999999999
186	1 17	1 18	1 10	1 9	0.007443405
187	1 12	1 14	1 10	1 8	0.367317
188	1 14	1 16	1 10	1 8	0.10204099999999999
189	1 16	1 18	1 10	1 8	0.035173750000000004
190	1 18	1 20	1 10	1 8	0.01658735
191	1 20	1 22	1 10	1 8	0.010023855000000002
192	1 22	1 24	1 10	1 8	0.003941515
193	1 24	1 26	1 10	1 8	0.00352169
194	1 13	1 16	1 10	1 7	0.26565700000000003
195	1 16	1 19	1 10	1 7	0.0552736
196	1 19	1 22	1 10	1 7	0.0214134
197	1 22	1 25	1 10	1 7	0.008209445
198	1 25	1 28	1 10	1 7	0.00507855
199	1 28	1 31	1 10	1 7	0.00308402
200	1 31	1 34	1 10	1 7	0.00223502
201	1 14	1 18	1 10	1 6	0.18256450000000002
202	1 18	1 22	1 10	1 6	0.0383589
203	1 22	1 26	1 10	1 6	0.01186885
204	1 26	1 30	1 10	1 6	0.00639617
205	1 30	1 34	1 10	1 6	0.00375058
206	1 34	1 38	1 10	1 6	0.002656915
207	1 38	1 242	1 10	1 6	0.001710385
208	1 12	1 13	1 11	1 10	0.5057235
209	1 13	1 14	1 11	1 10	0.1690745
210	1 14	1 15	1 11	1 10	0.08065
211	1 15	1 16	1 11	1 10	0.03854265
212	1 16	1 17	1 11	1 10	0.02300725
213	1 17	1 18	1 11	1 10	0.01112395
214	1 18	1 19	1 11	1 10	0.008600465000000002
215	1 13	1 15	1 11	1 9	0.372505
216	1 15	1 17	1 11	1 9	0.098602
217	1 17	1 19	1 11	1 9	0.0331264
218	1 19	1 21	1 11	1 9	0.018308249999999998
219	1 21	1 23	1 11	1 9	0.008316015
220	1 23	1 25	1 11	1 9	0.005110824999999999
221	1 25	1 27	1 11	1 9	0.0034149000000000002
222	1 14	1 17	1 11	1 8	0.267773
223	1 17	1 20	1 11	1 8	0.05434715
224	1 20	1 23	1 11	1 8	0.021752550000000002
225	1 23	1 26	1 11	1 8	0.009398345
226	1 26	1 29	1 11	1 8	0.0052005
227	1 29	1 32	1 11	1 8	0.00328392
228	1 32	1 35	1 11	1 8	0.00289238
229	1 15	1 19	1 11	1 7	0.18026750000000002
230	1 19	1 23	1 11	1 7	0.0397704
231	1 23	1 27	1 11	1 7	0.0135107
232	1 27	1 31	1 11	1 7	0.00678459
233	1 31	1 35	1 11	1 7	0.004556315
234	1 35	1 39	1 11	1 7	0.00226565
235	1 39	1 49	1 11	1 7	0.0019293499999999998
236	1 13	1 14	1 12	1 11	0.510321
237	1 14	1 15	1 12	1 11	0.18254
238	1 15	1 16	1 12	1 11	0.07787615
239	1 16	1 17	1 12	1 11	0.041531250000000006
240	1 17	1 18	1 12	1 11	0.018882950000000003
241	1 18	1 19	1 12	1 11	0.01340675
242	1 19	1 20	1 12	1 11	0.008699615
243	1 14	1 16	1 12	1 10	0.3795945
244	1 16	1 18	1 12	1 10	0.0947733
245	1 18	1 20	1 12	1 10	0.03662435
246	1 20	1 22	1 12	1 10	0.01897115
247	1 22	1 24	1 12	1 10	0.007901755
248	1 24	1 26	1 12	1 10	0.00562164
249	1 26	1 28	1 12	1 10	0.00360599
250	1 15	1 18	1 12	1 9	0.2553925
251	1 18	1 21	1 12	1 9	0.0621774
252	1 21	1 24	1 12	1 9	0.01986475
253	1 24	1 27	1 12	1 9	0.010003254999999999
254	1 27	1 30	1 12	1 9	0.005580244999999999
255	1 30	1 33	1 12	1 9	0.0033596349999999997
256	1 33	1 36	1 12	1 9	0.00292902
257	1 16	1 20	1 12	1 8	0.182948
258	1 20	1 24	1 12	1 8	0.040993100000000005
259	1 24	1 28	1 12	1 8	0.014828000000000001
260	1 28	1 32	1 12	1 8	0.006919965
261	1 32	1 36	1 12	1 8	0.0048638250000000004
262	1 36	1 40	1 12	1 8	0.0022527
263	1 40	1 50	1 12	1 8	0.0021619300000000003
264	1 14	1 15	1 13	1 12	0.6844385
265	1 15	1 16	1 13	1 12	0.206658
266	1 16	1 17	1 13	1 12	0.09348925
267	1 17	1 18	1 13	1 12	0.03572885
268	1 18	1 19	1 13	1 12	0.0248121
269	1 19	1 20	1 13	1 12	0.013956050000000001
270	1 20	1 21	1 13	1 12	0.0113744
271	1 15	1 17	1 13	1 11	0.42003650000000003
272	1 17	1 19	1 13	1 11	0.09287675
273	1 19	1 21	1 13	1 11	0.0419244
274	1 21	1 23	1 13	1 11	0.01662805
275	1 23	1 25	1 13	1 11	0.009431334999999999
276	1 25	1 27	1 13	1 11	0.005696745
277	1 27	1 29	1 13	1 11	0.003739605
278	1 16	1 19	1 13	1 10	0.27131099999999997
279	1 19	1 22	1 13	1 10	0.065546
280	1 22	1 25	1 13	1 10	0.0200295
281	1 25	1 28	1 13	1 10	0.010512500000000001
282	1 28	1 31	1 13	1 10	0.005552345
283	1 31	1 34	1 13	1 10	0.003736615
284	1 34	1 37	1 13	1 10	0.0029121850000000003
285	1 17	1 21	1 13	1 9	0.1862075
286	1 21	1 25	1 13	1 9	0.0394592
287	1 25	1 29	1 13	1 9	0.0149175
288	1 29	1 33	1 13	1 9	0.007409535
289	1 33	1 37	1 13	1 9	0.005066195000000001
290	1 37	1 241	1 13	1 9	0.002811325
291	1 241	1 51	1 13	1 9	0.002319695
292	1 15	1 16	1 14	1 13	0.6734249999999999
293	1 16	1 17	1 14	1 13	0.2161405
294	1 17	1 18	1 14	1 13	0.06959685
295	1 18	1 19	1 14	1 13	0.03966195
296	1 19	1 20	1 14	1 13	0.023289999999999998
