19806
139	1 7	1 3	1 35	1 39	0.0006498565	0.003507373952511529
140	1 7	1 3	1 39	1 43	0.000455015	0.003935835785700518
141	1 7	1 2	1 12	1 17	0.07075645	0.005561824873903103
142	1 7	1 2	1 17	1 22	0.01621835	0.0037094398403895337
143	1 7	1 2	1 22	1 27	0.004807405	0.0022407031456710804
144	1 7	1 2	1 27	1 32	0.001980415	0.0031396008382449736
145	1 7	1 2	1 32	1 37	0.001350515	0.003914278445370491
146	1 7	1 2	1 37	1 42	0.0007688795	0.00387254099687779
147	1 7	1 2	1 42	1 47	0.0004876435	0.005038281074504422
148	1 7	1 2	1 47	1 52	0.0003087055	0.005586163211468566
149	1 7	1 1	1 13	1 19	0.0590631	0.004935690861098843
150	1 7	1 1	1 19	1 25	0.011481700000000001	0.0025598361695625457
151	1 7	1 1	1 25	1 31	0.003035565	0.002722994889786179
152	1 7	1 1	1 31	1 37	0.0018450900000000002	0.0037476781666577925
153	1 7	1 1	1 37	1 43	0.0010210599999999998	0.003847763157537203
154	1 7	1 1	1 43	1 49	0.000606075	0.005234522662401801
155	1 7	1 1	1 49	1 55	0.00037302099999999996	0.005826512975267813
156	1 7	1 1	1 55	1 61	0.0002438485	0.00673309221770914
157	1 8	1 7	1 9	1 10	0.3245845	0.021469043311129934
158	1 8	1 7	1 10	1 11	0.08117949999999999	0.025541186144372358
159	1 8	1 7	1 11	1 12	0.03756585	0.002282302533464904
160	1 8	1 7	1 12	1 13	0.017359600000000003	0.0023984048442773948
161	1 8	1 7	1 13	1 14	0.011272	0.0031185807376537316
162	1 8	1 7	1 14	1 15	0.00675906	0.008648388660293707
163	1 8	1 7	1 15	1 16	0.0033110550000000002	0.004375946380330384
164	1 8	1 7	1 16	1 17	0.0030808650000000003	0.006403540260748344
165	1 8	1 6	1 10	1 12	0.17173	0.01798176566303122
166	1 8	1 6	1 12	1 14	0.044635350000000004	0.0033002889344216904
167	1 8	1 6	1 14	1 16	0.016566499999999998	0.006003668982128336
